Common name,District,Population,Area,Mayor
Acre,North,"46,300",13.533,Shimon Lancry
Afula,North,"40,500",26.909,Avi Elkabetz
Arad,South,"23,400",93.14,Tali Ploskov
Ariel,Judea & Samaria,"17,600",14.677,Eliyahu Shaviro
Ashdod,South,"2,06,400",47.242,Yehiel Lasri
Ashkelon,South,"1,11,900",47.788,Benny Vaknin
Baqa-Jatt,Haifa,"34,300",16.392,Yitzhak Veled
Bat Yam,Tel Aviv,"1,30,000",8.167,Shlomo Lahiani
Beersheba,South,"1,97,300",52.903,Rubik Danilovich
Beit She'an,North,"16,900",7.33,Jacky Levi
Beit Shemesh,Jerusalem,"77,100",34.259,Moshe Abutbul
Beitar Illit,Judea & Samaria,"35,000",6.801,Meir Rubenstein
Bnei Brak,Tel Aviv,"1,54,400",7.088,Ya'akov Asher
Dimona,South,"32,400",29.877,Meir Cohen
Eilat,South,"47,400",84.789,Meir Yitzhak Halevi
El'ad,Center,"36,300",2.756,Yitzhak Idan
Giv'atayim,Tel Aviv,"53,000",3.246,Ran Kunik
Giv'at Shmuel,Center,"21,800",2.579,Yossi Brodny
Hadera,Haifa,"80,200",49.359,Haim Avitan
Haifa,Haifa,"2,65,600",63.666,Yona Yahav
Herzliya,Tel Aviv,"87,000",21.585,Yehonatan Yassur
Hod HaSharon,Center,"47,200",21.585,Hai Adiv
Holon,Tel Aviv,"1,84,700",18.927,Moti Sasson
Jerusalem,Jerusalem,"8,15,600",125.156,Nir Barkat
Karmiel,North,"44,100",19.188,Adi Eldar
Kafr Qasim,Center,"18,800",8.745,Sami Issa
Kfar Saba,Center,"83,600",14.169,Yehuda Ben-Hemo
Kiryat Ata,Haifa,"50,700",16.706,Ya'akov Peretz
Kiryat Bialik,Haifa,"37,300",8.178,Eli Dokursky
Kiryat Gat,South,"47,400",16.302,Aviram Dahari
Kiryat Malakhi,South,"20,600",4.632,Motti Malka
Kiryat Motzkin,Haifa,"38,000",3.778,Haim Zuri
Kiryat Ono,Tel Aviv,"31,000",4.112,Yossi Nishri
Kiryat Shmona,North,"23,100",14.228,Nissim Malka
Kiryat Yam,Haifa,"37,700",4.339,Shmuel Sisso
Lod,Center,"69,800",12.226,Ilan Harari
Ma'ale Adumim,Judea & Samaria,"34,300",49.177,Benny Kashriel
Ma'alot-Tarshiha,North,"20,600",6.832,Shlomo Bohbot
Migdal HaEmek,North,"23,900",7.637,Eliyahu Barda
Modi'in Illit,Judea & Samaria,"46,200",4.746,Ya'akov Gutterman
Modi'in-Maccabim-Re'ut,Center,"72,700",50.176,Haim Beebas
Nahariya,North,"51,200",10.233,Jacky Sabag
Nazareth,North,"72,200",14.123,Ali Salam
Nazareth Illit,North,"40,800",32.521,Shimon Gapso
Nesher,Haifa,"23,600",12.79,David Amar
Ness Ziona,Center,"38,100",15.579,Yossi Shvo
Netanya,Center,"1,83,200",28.954,Miriam Feirberg
Netivot,South,"26,700",5.626,Yehiel Zohar
Ofakim,South,"24,000",10.273,Zvika Greengold
Or Akiva,Haifa,"16,100",3.539,Simha Yosipov
Or Yehuda,Tel Aviv,"34,400",5.141,David Yosef
Petah Tikva,Center,"2,09,600",35.868,Uri Ohad
Qalansawe,Center,"18,700",8.417,
Ra'anana,Center,"68,300",14.878,Nahum Hofree
Rahat,South,"51,700",19.586,Talal al-Krenawi
Ramat Gan,Tel Aviv,"1,45,000",13.229,Yisrael Zinger
Ramat HaSharon,Tel Aviv,"40,600",16.792,Yitzhak Rochberger
Ramla,Center,"65,800",11.854,Yoel Lavi
Rehovot,Center,"1,12,700",23.041,Rahamim Malul
Rishon LeZion,Center,"2,28,200",58.704,Dov Tzur
Rosh HaAyin,Center,"38,500",24.39,Moshe Sinai
Safed,North,"29,500",29.248,Ilan Shohat
Sakhnin,North,"25,700",9.816,Mazen Ghnaim
Sderot,South,"23,700",4.472,David Buskila
Shefa-'Amr (Shfar'am),North,"36,200",19.766,Nahed Khazem
Tamra,North,"28,700",29.259,Abu el-Hija Adel
Tayibe,Center,"36,500",18.662,Hemi Doron
Tel Aviv,Tel Aviv,"4,03,700",51.788,Ron Huldai
Tiberias,North,"41,300",10.872,Zohar Oved
Tira,Center,"22,600",11.894,Mamoun Abd al-Hay
Tirat Carmel,Haifa,"18,600",5.601,Aryeh Tal
Umm al-Fahm,Haifa,"46,100",22.253,Khaled Aghbariyya
Yavne,Center,"33,000",10.7,Zvi Gov-Ari
Yehud-Monosson,Center,"26,500",5.014,Yossi Ben-David
Yokneam,North,"19,100",7.39,Simon Alfasi
